title,links,first_paragraph
U.S. to Send Virus-Ravaged India Materials for Vaccines,https://www.nytimes.com/2021/04/25/us/politics/india-us-coronavirus.html?searchResultPosition=1,"The Biden administration, under increasing pressure to address a devastating surge of the coronavirus in India, said on Sunday that it had removed impediments to the export of raw materials for vaccines and would also supply India with therapeutics, rapid diagnostic test kits, ventilators and personal protective gear."
Michigan’s Covid Wards Are Filling Up With Younger Patients,https://www.nytimes.com/2021/04/25/us/michigan-covid-younger-people-hospitalized.html?searchResultPosition=2,"At Beaumont Hospital, Royal Oak, in one of America’s worst coronavirus hot spots, entire units are still filled with Covid-19 patients. People weak with the virus still struggle to sit up in bed. And the phone still rings with pleas to transfer patients on the verge of death to units with higher-tech equipment."
Vaccines Made at Troubled Baltimore Plant Were Shipped to Canada and Mexico,https://www.nytimes.com/2021/04/23/us/astrazeneca-covid-vaccine-contamination.html?searchResultPosition=3,The Biden administration said Friday that it did not know that a Baltimore factory had discarded millions of possibly contaminated doses of AstraZeneca’s coronavirus vaccine when President Biden last month released the company to ship vaccines manufactured there to Mexico and Canada.
Dozens of inmates at a prison in Iowa are recovering after receiving overdose amounts of the Pfizer vaccine.,https://www.nytimes.com/2021/04/23/us/iowa-prison-covid-vaccine-overdose.html?searchResultPosition=4,"Dozens of inmates at an Iowa prison were sickened this week after the prison’s nurses inadvertently administered overdoses of the Pfizer coronavirus vaccine, an error medical experts fear could erode trust among a population already wary of vaccinations."
"As Illinois and other Upper Midwestern states battle coronavirus hot spots, reports of new cases start to ebb.",https://www.nytimes.com/2021/04/23/us/illinois-covid-cases.html?searchResultPosition=5,"For weeks, Illinois, like much of the Upper Midwest, has been troubled by a stubbornly high daily load of reported coronavirus cases, leading to climbing numbers of hospitalizations and deaths. But new data is signaling that the virus might be on the verge of retreating."
Puerto Rico Just Had Its ‘Worst Moment’ for Covid-19,https://www.nytimes.com/2021/04/23/us/coronavirus-puerto-rico.html?searchResultPosition=6,"Throughout the pandemic, Dr. Víctor Ramos, a pediatrician, had not seen more than two Covid-19 patients hospitalized at the same time at San Jorge Children & Women’s Hospital in San Juan, the Puerto Rican capital, where he works nights. When he left after one of his shifts a few days ago, the hospital’s pediatric patient count had grown to 10."
Some mass vaccination sites in U.S. close as demand begins to fall.,https://www.nytimes.com/2021/04/23/us/some-mass-vaccination-sites-in-us-close-as-demand-begins-to-fall.html?searchResultPosition=7,"Some county health departments that couldn’t keep up with vaccine demand a month ago have now started closing some of their mass vaccination sites for lack of customers, and some counties are declining vaccine shipments."
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2021/04/22/us/coronavirus-today.html?searchResultPosition=8,"India recorded 312,731 new infections on Thursday, making the current outbreak there the worst measured in the world over the last year. Previously, the U.S. had the highest one-day record, of 300,669 coronavirus cases, on Jan. 8."
"With Few New Clotting Cases, Johnson & Johnson Pause Could Be Lifted Soon",https://www.nytimes.com/2021/04/22/us/politics/johnson-and-johnson-vaccine.html?searchResultPosition=9,Federal health officials are leaning toward lifting their recommended pause on the use of Johnson & Johnson’s coronavirus vaccine after finding only a limited number of additional cases of a rare blood clotting disorder among recipients.
Federal Inspectors Fear More Vaccines Were Exposed to Contamination,https://www.nytimes.com/2021/04/21/us/politics/emergent-johnson-johnson-covid-vaccine.html?searchResultPosition=10,Federal regulators have found serious flaws at the Baltimore plant that had to throw out up to 15 million possibly contaminated doses of Johnson & Johnson’s coronavirus vaccine
