title,links,first_paragraph
Steven Mnuchin Tried to Save the Economy. Not Even His Family Is Happy.,https://www.nytimes.com/2020/08/30/business/steven-mnuchin-trump-economy.html?searchResultPosition=1,"One spring day, not long after President Trump signed the largest economic stimulus package in American history in March, a group of his top aides and cabinet officers gathered in the Oval Office."
Movies Are Returning to Theaters. Will Audiences Follow?,https://www.nytimes.com/2020/08/28/business/media/coronavirus-movie-theaters-new-mutants.html?searchResultPosition=2,"The Regal Sunset Station multiplex in suburban Las Vegas reopened on Thursday night after sitting empty for five months in eerie pandemic-forced exile. One of the first people to take a center seat, popcorn and orange soda in hand, was Brian Truitt, who bought tickets to “The New Mutants,” a Marvel superhero movie, a week in advance."
Avoiding Overdraft Fees in a Strained Checking Account,https://www.nytimes.com/2020/08/28/business/how-to-avoid-overdraft-fees.html?searchResultPosition=4,"Not sure if you have overdraft service on your checking account? Now might be a good time to double-check, to avoid surprise fees."
God Is Dead. So Is the Office. These People Want to Save Both,https://www.nytimes.com/2020/08/28/business/remote-work-spiritual-consultants.html?searchResultPosition=5,"In the beginning there was Covid-19, and the tribe of the white collars rent their garments, for their workdays were a formless void, and all their rituals were gone. New routines came to replace the old, but the routines were scattered, and there was chaos around how best to exit a Zoom, onboard an intern, end a workweek."
Unemployment Claims Are ‘Stubbornly High’ as Layoffs Persist,https://www.nytimes.com/2020/08/27/business/economy/unemployment-claims.html?searchResultPosition=6,"Just over one million Americans filed new claims for state jobless benefits last week, the latest sign that the economy is losing momentum just as federal aid to the unemployed has been pulled away."
"Soon, the Kitty Litter Will Come by Electric Truck",https://www.nytimes.com/2020/08/27/business/electric-delivery-vehicles-ups-fedex-amazon.html?searchResultPosition=9,"Going back years, you might have been able to spot a truck from the likes of FedEx and UPS, and more recently Amazon, that ran on electricity. But most of these were small, short test runs that left the internal-combustion status quo in place."
"The 2021 World Economic Forum summit will be rescheduled, organizers say.",https://www.nytimes.com/2020/08/26/business/the-2021-world-economic-forum-summit-will-be-rescheduled-organizers-say.html?searchResultPosition=11,"The World Economic Forum is pushing back its annual summit in Davos, Switzerland, from January to early next summer, it announced on Wednesday."
"In Britain, an Idea to Reduce Racial Inequality Gains Momentum",https://www.nytimes.com/2020/08/26/business/britain-pay-gaps-racial-inequality.html?searchResultPosition=13,"Nearly two years ago, the British government seemed to be on the verge of doing something truly novel about racial and ethnic inequality. Theresa May, the prime minister at the time, had adopted a plan to root out one of the causes of differences in incomes that would “create a fairer and more diverse work force,” she said."
Airline Job Cuts Could Pressure Congress and Trump on Stimulus,https://www.nytimes.com/2020/08/25/business/american-airline-furlough-19000.html?searchResultPosition=14,"American Airlines warned employees on Tuesday that it would cut up to 19,000 workers on Oct. 1, saying that there was little sign that the pandemic-induced reluctance to travel was diminishing."
Here’s How Moving to Work Remotely Could Affect Your Taxes,https://www.nytimes.com/2020/08/25/business/coronavirus-nonresident-state-taxes.html?searchResultPosition=15,"If you decided to ride out the pandemic at your out-of-state vacation house or with your parents in the suburbs, you may be in for an unpleasant reality: a hefty tax bill."
