title,links,first_paragraph
Trump Extends Social Distancing Guidelines Through End of April,https://www.nytimes.com/2020/03/29/us/politics/trump-coronavirus-guidelines.html?searchResultPosition=1,"President Trump retreated Sunday from his desire to relax coronavirus guidelines by Easter, announcing instead that all Americans must continue to avoid nonessential travel, going to work, eating at bars and restaurants, or gathering in groups of more than 10 for at least another month and perhaps until June."
Trump Said He Was the President of Manufacturing. Then Disaster Struck.,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-trump-ventilators-manufacturing-gm.html?searchResultPosition=2,"When President Trump came to office, he promised a new day with America’s manufacturers, casting himself as the first president who understood their needs. He toured factory floors, often handing out his signature “Make America Great Again” hats."
"A City Hunkered Down to Survive an Outbreak. That Helped in a Tornado, Too.",https://www.nytimes.com/2020/03/29/us/tornado-coronavirus-arkansas.html?searchResultPosition=3,"Some in Jonesboro, Ark., saw a miracle on Saturday after a tornado roared through town. It tore through businesses already closed by the coronavirus and neighborhoods where people had already been told to social distance by hunkering down at home. Not a soul died."
Coronavirus Slowdown in Seattle Suggests Restrictions Are Working,https://www.nytimes.com/2020/03/29/us/seattle-washington-state-coronavirus-transmission-rate.html?searchResultPosition=4,"The Seattle area, home of the first known coronavirus case in the United States and the place where the virus claimed 37 of its first 50 victims, is now seeing evidence that strict containment strategies, imposed in the earliest days of the outbreak, are beginning to pay off"
How Asian-American Leaders Are Grappling With Xenophobia Amid Coronavirus,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-asian-americans.html?searchResultPosition=5,"Soon after President Trump first uttered the phrase “Chinese virus,” Representative Grace Meng got a call from her parents, who had read about it in the newspaper. Had Mr. Trump, they wondered, really given the coronavirus that corrosive moniker?"
"Liberty University Brings Back Its Students, and Coronavirus Fears, Too",https://www.nytimes.com/2020/03/29/us/politics/coronavirus-liberty-university-falwell.html?searchResultPosition=6,"Updated March 30, 2020: This story has been changed to reflect the first known positive coronavirus test of a Liberty University student. "
Is the U.S. Headed Toward a Short British-Style Election?,https://www.nytimes.com/2020/03/29/us/2020-elections-coronavirus.html?searchResultPosition=7,"From the White House to the county courthouse, the coronavirus pandemic has drastically upended the 2020 elections."
Judge Urges Release of Migrant Children After 4 Test Positive for Coronavirus in Detention,https://www.nytimes.com/2020/03/29/us/coronavirus-migrant-children-detention-flores.html?searchResultPosition=8,"Concerned that thousands of migrant children in federal detention facilities could be in danger of contracting the coronavirus, a federal judge in Los Angeles late on Saturday ordered the government to “make continuous efforts” to release them from custody."
How Much Should the Public Know About Who Has the Coronavirus?,https://www.nytimes.com/2020/03/28/us/coronavirus-data-privacy.html?searchResultPosition=9,"When the first case of the coronavirus in Silicon Valley was discovered in late January, health officials were faced with a barrage of questions: What city did the patient live in? Whom had he come in contact with? Which health clinic had he visited before he knew he was infected?"
Figuring Out Home Schooling in the Age of Coronavirus,https://www.nytimes.com/2020/03/28/us/28IHW-coronavirus-school-families-learning.html?searchResultPosition=10,"Corinne Purtill, a Los Angeles-based journalist who covers health, science and technology"
"U.S. Civil Rights Office Rejects Rationing Medical Care Based on Disability, Age",https://www.nytimes.com/2020/03/28/us/coronavirus-disabilities-rationing-ventilators-triage.html?searchResultPosition=11,"The director of the federal health department’s civil rights office said on Saturday that his office was opening a series of civil rights investigations to ensure that states did not allow medical providers to discriminate on the basis of disabilities, race, age or certain other factors when deciding who would receive lifesaving medical care during the coronavirus emergency."
Rhode Island Pulls Over New Yorkers to Keep the Virus at Bay,https://www.nytimes.com/2020/03/28/us/coronavirus-rhode-island-checkpoint.html?searchResultPosition=12,"Police officers were watching Rhode Island’s highways, bridges and bus stops. National Guard troops were trudging through resort towns with clipboards, knocking on doors. They were all hunting for fleeing New Yorkers and their telltale Empire State license plates."
The Race for Virus Money Is On. Lobbyists Are Standing By.,https://www.nytimes.com/2020/03/28/us/politics/coronavirus-money-lobbyists.html?searchResultPosition=13,"The federal government is open for coronavirus business, and the scramble to get some of it is on."
The U.S.’s Slow Start to Coronavirus Testing: A Timeline,https://www.nytimes.com/2020/03/28/us/coronavirus-testing-timeline.html?searchResultPosition=14,The World Health Organization says that Chinese health officials in Wuhan revealed a “cluster of cases of pneumonia of unknown cause.”
The Lost Month: How a Failure to Test Blinded the U.S. to Covid-19,https://www.nytimes.com/2020/03/28/us/testing-coronavirus-pandemic.html?searchResultPosition=15,"Early on, the dozen federal officials charged with defending America against the coronavirus gathered day after day in the White House Situation Room, consumed by crises. They grappled with how to evacuate the United States consulate in Wuhan, China, ban Chinese travelers and extract Americans from the Diamond Princess and other cruise ships."
"With Coronavirus Disrupting College, Should Every Student Pass?",https://www.nytimes.com/2020/03/28/us/coronavirus-college-pass-fail.html?searchResultPosition=16,"Carlos Polanco was living in a dormitory just two weeks ago, taking classes and thinking mostly about getting good grades and life after graduation. Now he is back in Clifton, N.J., home schooling his 12-year-old sister, doing household chores and worrying about the health of his relatives in the Dominican Republic."
Cuomo Postpones New York’s Primary Election to June 23 Because of Coronavirus,https://www.nytimes.com/2020/03/28/us/politics/ny-primary-voting-coronavirus.html?searchResultPosition=17,"New York will postpone its April 28 presidential primary until June 23, Gov. Andrew M. Cuomo announced on Saturday, buying time for the state to administer an election as it struggles to respond to the escalating coronavirus outbreak."
"Alone on the Road, a Trucker’s Long Haul as America Fights the Virus",https://www.nytimes.com/2020/03/28/us/coronavirus-truckers.html?searchResultPosition=18,"Like so many other long-haul truckers, pumping wares of a gasping economy through the arteries of the nation’s highway system, Darrell Woolsey sees the changing landscape through his windshield."
A Unanimous Senate Vote That Nobody Seemed to Agree On,https://www.nytimes.com/2020/03/28/us/senate-coronavirus-stimulus-bill.html?searchResultPosition=19,"After a four-year stretch marked by an acrimonious fight over a Supreme Court vacancy, the poisonous Kavanaugh confirmation and a bitter impeachment trial, was it too much to hope that a global health and economic crisis could suddenly rid the Senate of its own partisan infection?"
"Trump to Issue Travel Advisory for N.Y. Region, Backing Off Quarantine Threat",https://www.nytimes.com/2020/03/28/us/politics/trump-virginia-comfort-coronavirus.html?searchResultPosition=20,"President Trump said Saturday night that he would not impose a quarantine on New York, New Jersey and Connecticut to prevent the spread of the coronavirus, but would instead issue a “strong” travel advisory for the region to be enacted by the governors of the three states."
Race/Related: Covid-19 and the Collapse of America’s Welfare State,https://www.nytimes.com/2020/03/28/us/american-poison-coronavirus-race.html?searchResultPosition=21,"[Race affects our lives in countless ways. To read provocative stories on race from The Times, sign up here for our weekly Race/Related newsletter.]"
‘We are Trying to Protect Our Own’: The Towns Keeping Part-Timers Out,https://www.nytimes.com/2020/03/28/us/politics/coronavirus-second-homes.html?searchResultPosition=22,"John Lowry vacationed in Door County, Wis., when he was a child. He loved it so much that 30 years ago he moved there. It’s not in his nature to tell people who share his fondness for what he calls “the Cape Cod of the Midwest” to please just stay away."
