text,label,class
"It was a tough fall semester for many American colleges and universities, with declining enrollment, canceled classes and sporting events, widespread Zoom fatigue and enough coronavirus-infected students nationwide to fill three and a half Rose Bowls.",0,0
"The next major flash point over coronavirus response has already provoked cries of tyranny and discrimination in Britain, protests in Denmark, digital disinformation in the United States and geopolitical skirmishing within the European Union.",0,0
"As the coronavirus rages across the globe, ventilators that pump oxygen into the lungs of critically ill patients have been embraced as the best hope for saving lives.",0,0
"Though public health officials are urging medical practices to use virtual patient visits to help slow the spread of the coronavirus, a surprising number of dermatology offices, many of them owned by private equity investment firms, remain open for in-person skin checks and other nonurgent services.",0,0
"The Centers for Disease Control and Prevention has extended its nationwide moratorium on evictions through June 30, pushing it back from the end of March, when it had been scheduled to lapse.",0,0
"Deaths from the coronavirus are skyrocketing in the United States, reaching levels never before seen, largely fueled by relentless surges in California and Arizona.",0,0
"In parts of the U.S. like New York City, where coronavirus cases are on a steady downward trend, the front lines of the crisis have shifted from emergency rooms and intensive-care units to recovery wards. But even after the worst is over for the severely ill, their comeback can be a long, difficult process.",0,0
"Thousands of workers at an Amazon warehouse near Birmingham, Ala., moved closer this week to holding a vote on whether to form a union, a milestone at the nation’s fastest growing large employer and a coup for organized labor, which has tried for years to make inroads at the e-commerce giant.",0,0
"President Trump has lauded the experimental treatment he received for his coronavirus infection, releasing one enthusiastic video on Wednesday and another today.",0,0
"Biden takes a stab at bipartisanship, but Democrats in Congress aren’t holding their breath. It’s Tuesday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",0,0
"The stage being built on the West Front of the Capitol can hold 1,600 spectators for a close-up view of President-elect Joseph R. Biden Jr. as he takes the oath of office. The reviewing stand under construction in front of the White House will be ready for the inaugural parade and thousands of cheering onlookers as the marchers pass by. And the National Mall is prepared to accommodate many more.",0,0
"Activists with Black Lives Matter had a vision for what the scorched remains of a Wendy’s restaurant could become: the Rayshard Brooks Peace Center, a gathering place in Atlanta with job training, counseling and youth programs that would be a living memorial named for the man whose fatal encounter with the police transformed the fast-food eatery into the heart of the city’s turmoil.",0,0
