text,label,class
"Buried deep in Russia’s war-torn eastern regions, the country’s secret police have been engaged in a ferocious campaign of misinformation and disinformation to help President Vladimir V. Putin and his allies win over skeptical Americans and, crucially, the loyalty of the Russian people.",4,1
"Like many Americans these days, Lisa M. Delmont is used to bustling at the office and working out at the gym. But on Sunday, the federal government announced that nonexempt workers working in an office, home, or out of state would be eligible for a Covid-19 vaccine beginning on Monday.",4,1
"It was a late Sunday afternoon in April, a few days before the start of the Vikings’ home season, and a few dozen team officials and players were gathered at a table at the University of Minnesota football stadium.",4,1
"The OASR has been an organization that has kept tabs on the qualifications of its members for the last half-century. With the advent of national service, the nation’s enemies have shifted from alert to ambush.",4,1
"Like many taxpayers, Alisa Stephens ran a side business last year to help pay the electricity bill in California. She got a loan to help pay the bill, but there were none to come out of it.",4,1
"By the standards set by President Trump at his debate with Joseph R. Biden Jr., the matchup on Wednesday night between Senator Kamala Harris and Senator Bernie Sanders of Vermont did not disappoint.",4,1
"An airborne outbreak of the coronavirus has caused concern across Asia, particularly in the Asian community in Southeast Asia, and has raised fears that the pandemic could be impacting the composition of the global community’s vaccine rollout.",4,1
"For months, many businesses have struggled to stay afloat with the pandemic. It’s why a business changed hands in the first place: the internet marquee that brings in revenue.",4,1
"Under the cloak of a pandemic and the convulsions of anti-racist protests, the Trump administration continues to advance its policies to restrict legal immigration, halting the flow of foreign workers and raising the bar for asylum seekers hoping for sanctuary.",4,1
"While the pandemic has been difficult for many in Japan, the pressures have been compounded for those without a home. Many people returned to work only to find that their new workplace had closed its gates prematurely. One group has made significant sacrifices to avoid: those close to home with the virus.",4,1
"Alabama will allow everyone ages 16 or older to sign up for a Covid-19 vaccine on Monday, joining more than 40 states that have already broadened access in an effort to make all adults eligible by the end of the month.",4,1
"As the outbreak of a respiratory virus in China threatens global growth, the country’s top economic policymakers are of two minds on how to tackle the problem.",4,1
"Take a ride on the magic escalator. Scrub the stalls. Turn your attention to the “real deals” inside the Expo Hall, the glass-walled, privately owned showroom where wares of merchandise for the Fifth and Expo window seats end the nostalgic experience of standing outside a closed shopping mall.",4,1
"When Senator Bernie Sanders, the Vermont independent, announced his intention to compete in the Democratic primary this year, many online activists agreed with him. Small-dollar donations to Democratic candidates would not be made available for many months, and reforming the Democratic primary electorate would be a struggle. The coronavirus pandemic’s destruction of Mr. Sanders’s insurgent campaign nearly crippled the Vermont senator.",4,1
"Thousands of police officers in riot gear filled the streets of Hong Kong on Sunday, stifling efforts to protest the postponement of legislative elections and China’s imposition of a national security law that gives the authorities sweeping new powers to pursue critics.",4,1
"President Trump sold his first state-issued coronavirus vaccine to a single patient, a single pharmacy in a single county, at a decisive moment in his campaign to persuade skeptical Americans to immunize themselves should the nationwide rise in cases.",4,1
"When Holland came down with the second wave of the coronavirus last year, she expected to spend much of her savings, as well as those from her job as a fund-raiser for a Chicago-based arts collective, paddling the Chicago lake from Michigan and the Rouge River in Louisiana.",4,1
"When the pandemic first hit Italy, overwhelming the country’s hospitals and prompting the West’s first lockdown, Italians inspired the world with their resilience and civic responsibility, staying home and singing on their balconies. Their reward for months of confinement was a flattened curve, a gulp of normalcy and the satisfaction of usually patronizing allies pointing to Italy as a model.",4,1
"As the leading American pollster reports that Americans continue to be taken off the track for the first time since the coronavirus pandemic began, a respected institution decided to conduct a much-needed annual review.",4,1
"When it came time to crack down on Mac’s Public House, the Staten Island bar that has notoriously defied Covid-19 restrictions, New York City sent in law enforcement officers from the Sheriff’s Office, a relatively tiny force that relies on 150 deputies and remains unknown even to most New Yorkers.",4,1
A drug that turned the once-promising drug industry into a $1.6 billion windfall for the legislation race to fund the nation’s emerging coronavirus vaccines stalled in the Senate after Republicans and Democrats clashed over what should be included in the latest round of relief.,4,1
"Vice President Mike Pence, Joseph R. Biden Jr. and Senator Kamala Harris all touched down Thursday to campaign in Florida, as Democrats began a final leg of an ambitious campaign to monitor the Indiana governor’s health status ahead of the election.",4,1
"President Trump’s response to the coronavirus has been an ever-changing disaster. As his administration struggled to shore up supplies of masks and other protective equipment, Mr. Trump had been seen earlier this month offering to supply the American public with more than a basic “good evening” greeting.",4,1
"The Centers for Disease Control and Prevention has been warning about it since January: A more contagious and possibly deadlier variant of the coronavirus, first found in Britain, is likely to become predominant in the United States, perhaps leading to a wrenching surge in cases and deaths.",4,1
"Crises, both natural and man-made, have long driven change in architecture and urban planning. The eye-popping imagination of ahem, the Lincoln Center in Chicago, the Mississippi Delta in all its humdrum, pummeled feel. The theater in Simpersville, Queens, where the Philharmonic Orchestra performed for the first time in four decades.",4,1
"After months of training and competition, the girls’ soccer team at Lowell High School in San Francisco could taste another title.",4,1
"Citing health concerns, the organizers of the annual vigil for the dead of the mass protests against the police in Madrid asked the city’s public to stay away from the event on Saturday and on Sunday, the same day as the country’s mass vaccination program was halting large-scale inoculation of the protesters.",4,1
"Texas and Ohio have included abortions among the nonessential surgeries and medical procedures that they are requiring to be delayed, setting off a new front in the fight over abortion rights in the middle of the coronavirus pandemic in the United States.",4,1
"Fauci fights back while Biden pivots, Trump’s trade adviser confirms TPP talks are off. It’s Thursday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",4,1
"As President Trump battled the coronavirus on Friday, a young Venezuelan demonstrator in the United States vowing to fight the disease instead of opting for American safety measures, received a compliment from an acquaintance who knew him by sight because of his comments on social media about ushering in a “wartime” approach to combating the disease.",4,1
"Shortly before midnight on Friday, and just before the start of the 15-hour drive from Seattle to Las Vegas, a small crowd of protesters waited outside the entrance to the Capital One Center in perhaps the most challenging demonstration in recent years.",4,1
"When the Covid-19 virus raced across the globe in the spring, it sickened millions of people in a country dogged by persistent unemployment. The World Health Organization helped to create a Memorial Day special event to commemorate the fallen.",4,1
"Ngozi Okonjo-Iweala, an economist and former finance minister of Nigeria, became the country’s tobacco control czere after she was appointed last year.",4,1
"As the United States and other countries anxiously consider how to reopen schools, Israel, one of the first countries to do so, illustrates the dangers of moving too precipitously.",4,1
"It was a typical weeklong shift in Mike Prysby’s life: He woke up with his nose pressed against a sink, packed lunchables with orange cantaloupes and blue cheese, and headed for the door, longing to be outside but afraid to go inside.",4,1
"It’s been a horrendous year for those in the events business. Todd Fiscus, of Dallas-based Todd Events, spent the morning of Jan. 9, 9, thousands of visitors stranded at the airport, scrambling to find a flight. Some hotels were sleeping last-minute travelers.",4,1
"The Capitol was quiet until Wednesday, when the first House Democrats introduced a bill that would provide help to struggling Americans buy themselves a house.",4,1
"Even as businesses around the country shut down, tens of thousands of workers in many industries were given new responsibilities and met new needs for health care as the pandemic severely limited factory capacity.",4,1
"For the past four years, the United States and its allies have tried to persuade China to take more action to reduce the coronavirus epidemic.",4,1
"A small outbreak of a contagious virus has spread through the sprawling metropolis of Shijiazhuang, China, killing at least 13 people and demanding a broader investigation into the origin of the outbreak.",4,1
"If the presidential election were held today, polls in crucial swing states like Florida, Michigan and Pennsylvania suggest that Joseph R. Biden Jr. would be in position for a narrow victory.",4,1
"It might seem an unlikely pairing: a country ravaged by disease with flawed medical practices, a militiamen battling a terrorist group on its soil, a former general secretary of the Russian Federation laying out his plans for a democratic transition in his country.",4,1
"In part because of the pandemic, fewer people are receiving regular checks on income they have earned, and more people are struggling to get by on extra time spent on the job after a severe flu season, the government reported on Wednesday.",4,1
"It’s easy to see why the publishers of the Boston Review were so surprised when the tabloid retracted an article about Donald Trump’s treatment for the coronavirus. The Daily Beast, which has been critiquing the Trump administration’s response to the outbreak, got its start by asking what other reviewers had said about Trump’s guilt by association. A quick Google search turned up lots of stories about Trump and the disease.",4,1
"Trump administration officials and lawmakers scrambled on Tuesday to reach agreement on a naturalization process that would allow an American citizen or lawful permanent resident to automatically enter the country as a tourism stop, a change that would allow far fewer people to be turned away at a time when the coronavirus is on the rise.",4,1
"When the pandemic first hit Italy, overwhelming the nation’s hospitals and prompting the collapse of a power system that had barely begun to bustle, Luongo Great Orsolomon could not believe his ears.",4,1
One of the few countries in Europe to bear the brunt of the coronavirus outbreak is now the backdrop to a global health crisis.,4,1
"Truck drivers were paid significantly less last year, yet more trucks arrived at the slaughterhouse. Beauty pageants were blessed with clearance from the cosmetic world, yet again spring was rife with doubts. And then there was the smack-down economy.",4,1
"Wearing bathrobes, pajamas or whatever else he was wearing, President Trumpzinski of the United States was moving into his bedroom closet, shutting the door handle and packing everything he could carry inside, ready to catch the coronavirus.",4,1
"The coronavirus pandemic may threaten press freedom and worsen the crises that reporters around the world are facing, according to this year’s World Press Freedom Index, which evaluates the landscape for journalists in 180 countries and territories.",4,1
"The airline had suspended flights from and to Taiwan after the coronavirus outbreak, and when it came time for its airlines to stand by its ban, nothing prepared me for what it took.",4,1
"Johnny Salinas Jr. has officially been President Trump’s QB from Day one. It’s Monday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",4,1
"When the pandemic hit in March, many German breweries were struggling to stay afloat, and to stay in business. That fall, the country’s biggest beer giant, Anheiser, decided to halt the turnaround of its Siemens plant in Germany amid rising production.",4,1
A pandemic that infected Japan has crippled the global economy and disrupted the world’s. The World Health Organization has declared the country a global public health crisis. The Chinese government has imposed some of the world’ toughest lockdowns to stop the epidemic.,4,1
"The coronavirus pandemic upended Pamela Walsh’s life. It shut down her office, leaving her working at home from a folding table. It forced her to turn her dining room into a Zoom classroom for her very young students. And the virus propelled a still more unlikely change: It led Ms. Walsh to run for public office.",4,1
"Just three days after students in the Cayman School District of New York tore down a wall separating themselves from the rest of the nation’s 711-page economic stimulus package, teachers used fluorescent yellow tape to patch up a crumbling math section. Hours later, a school bus rumbled by, and the pupils scrambled out to peer inside the containers, which held their laptops.",4,1
