,text,label,class
0,"President Biden said on Wednesday that he would appoint a senior official to coordinate the government’s responses to the coronavirus, a role that will be key to ensuring that the United States is prepared for the worst-case scenarios that come with time to spare.",2,1
1,small businesses weather the pandemic and still depend on the supply of raw materials to run their operations.,1,1
2,"When the pandemic struck, the nation’s governors, mayors, county executives and business owners had no idea how to make their trials work. No one had the heart to tell them that they were dreaming big or ambitious. They had no business to worry about. They were just trying to get a trial and, in the short term, succeeding.",2,1
3,"A group of 13 disgruntled first-year analysts at Goldman Sachs has made waves by assembling a professional-looking presentation in the company style about their experiences at the investment bank. The resulting “Working Conditions Survey” (sample size: 13) said that the junior bankers worked an average of around 100 hours per week, with most saying they considered themselves victims of workplace abuse.",1,1
4,"Hospitals across England are stretched to the brink with Covid-19 patients, medical workers are at their breaking point, and the death toll is soaring.",0,0
5,"In the coming days, we are rolling out major changes to the virus testing site at the White House, which will function much like a normal White House event: no longer will visitors be asked to wear masks, and participants will be able to engage in face-to-face conversations.",1,1
6,The Supreme Court on Monday denied a request from a church in California to block enforcement of state restrictions on attendance at religious services.,4,1
7,"When the pandemic struck, the mayor of the northern Italian town of Asti’s soccer club was promptly fired and imprisoned.",2,1
8,"Every weekend since Gov. Tom Wolf of Pennsylvania issued statewide stay-at-home orders in the closing days of the coronavirus pandemic, on April 1, millions of children, some as young as a year old, have spent months sheltering at home with their parents, worried about the outcome of the work they had put in to try to keep the country safe.",4,1
9,"The day after the spring break oasis of South Beach descended into chaos, violence and the acceptance of millions of masks into its bars, crews of scruffy-looking men and women were at it again on Saturday, and in a city that was on edge.",4,1
10,Physicians for a free service called Examine that was downloaded from the internet are not being paid to do their jobs. It is unclear how the health agency will disentangle itself from its partnership with a private equity investment firm.,3,1
11,"The roads were icy in Frostburg, Md. In Jolly, Texas, the mood was somber. Still, despite a season filled with challenges at every turn, by the standards of a war zone, the commute from the airport to the hospital in Laredo felt like one of the year’s biggest triumphs.",2,1
12,Mass protests against police brutality that have brought thousands of people out of their homes and onto the streets in cities across America are pressuring public health officials to address a crisis that has largely been overlooked and one that has largely been underserved by the news media.,1,1
13,"Rain is not in the forecast for President-elect Joseph R. Biden’s inauguration on Wednesday, but uncertainty, sowed chaos and undereating anxiety, and in many cases, outright fear, as the fearful young adults prepare to turn off the lights and leave the house.",2,1
14,Frank King has gotten death threats. So many angry strangers have called his phone in recent weeks that he changed his number. And his neighbors have offered to bring food to his doorstep if he would just agree to stay inside his house.,0,0
15,"That old political heartbreaker, the presidential battleground of Florida, lured the two White House contenders to the same city on Thursday, as President Trump and Joseph R. Biden Jr. confronted some of their biggest political vulnerabilities in a state that is once again shaping up as the most elusive prize in next week’s election.",3,1
16,"Maine announced on Thursday that adults 16 years and older will be eligible for a vaccine on Wednesday, more than a week sooner than the April 19 deadline the state previously set. Virginia also announced it would allow residents 16 or older to begin getting vaccinated against Covid-19 on April 19, joining more than 40 states that have sped up efforts to open the process to all adults as federal health officials warn of a possible fourth surge of the coronavirus.",2,1
17,Neither intimate looks into stars’ living rooms nor scantily clad pop stars performing provocative hits have been able to stop audiences from tuning out award shows this year. The ratings for the Grammys were down by 53 percent. The Golden Globes plummeted by more than 60.,1,1
18,"Locked down in his home office in Sacramento, Calif., Representative Ron Wright, a Wisconsin Republican, could not believe his ears.",2,1
19,"Lenore Janis, a force of nature in the New York City construction industry who left thousands of cracks in the concrete ceiling of a male-dominated business, died on Jan. 31 at an assisted living facility in Brookfield, Conn. She was 86.",0,0
20,"Commuters who are eligible for a Covid-19 vaccine will be eligible for one on Sunday, the first day of implementation in the country.",3,1
21,"Canada’s drug regulator authorized the AstraZeneca vaccine for emergency use on Friday, the first country in the world to approve the vaccine for emergency use after the country’s Ministry of Health repeatedly failed to set up a robust program to track the progress of the vaccine.",1,1
22,"China is pushing a new theory about the origins of the coronavirus: It is an American disease that might have been introduced by members of the United States Army who visited Wuhan, the city where the outbreak began.",3,1
