,text,label,class
4,"Hospitals across England are stretched to the brink with Covid-19 patients, medical workers are at their breaking point, and the death toll is soaring.",0,0
14,Frank King has gotten death threats. So many angry strangers have called his phone in recent weeks that he changed his number. And his neighbors have offered to bring food to his doorstep if he would just agree to stay inside his house.,0,0
19,"Lenore Janis, a force of nature in the New York City construction industry who left thousands of cracks in the concrete ceiling of a male-dominated business, died on Jan. 31 at an assisted living facility in Brookfield, Conn. She was 86.",0,0
29,"South Africa has faced blow after blow to its pandemic-control efforts: A worrisome variant swept across the country, driving a devastating second wave of coronavirus cases. Then officials had to scramble for an alternative when the vaccine it had bet on, from AstraZeneca, proved ineffective against the variant, which can partially dodge the body’s immune system response.",0,0
31,"Just over one million Americans filed new claims for state jobless benefits last week, the latest sign that the economy is losing momentum just as federal aid to the unemployed has been pulled away.",0,0
38,"Before this year, Wesley Yang had never celebrated with a real Christmas tree. Growing up, his family deemed it an inconvenience. But stuck at home this season, Mr. Yang and his roommate decided to do something different to mark the end of a tragic year, spending $90 on a tree and lugging it up three floors to their Los Angeles apartment.",0,0
45,"Some hospitals, short on heat or water, urgently raced to transfer their most critically ill patients elsewhere. Other hospitals were overflowing with patients injured in the winter storm or sickened during it, boarding them in hallways. At one hospital, the pipes burst, sending water spraying through the emergency room, while at another, patients were told to clean themselves with hand sanitizer and to stop showering in a desperate bid to conserve water.",0,0
46,"Citing a threat to Israeli democracy, opponents of Prime Minister Benjamin Netanyahu asked the Supreme Court on Sunday to block what they described as a power grab by the caretaker government under the guise of combating the coronavirus epidemic.",0,0
59,"As he headed off the ice after playing a hockey game in an amateur tournament in late March, the leader of Belarus brushed aside reporters’ anxious questions about the coronavirus pandemic.",0,0
67,"Vacationing abroad may not be possible for residents of Britain until all adults in the country have been vaccinated, a government official said on Wednesday, raising questions about how the tourism industry might cope with such restrictions and dashing hopes of many who hoped that a relatively successful vaccine rollout in Britain could let them enjoy trips abroad this summer.",0,0
68,"Democratic leaders plan to move this week to change the rules of the House of Representatives to allow lawmakers to cast votes remotely for the first time in its 231-year history, a major concession to the constraints created by the coronavirus pandemic.",0,0
71,"At 6:04 p.m. on Tuesday night, the staff at EvergreenHealth in Washington State got another warning: Two more patients with respiratory troubles were on their way to an emergency ward that had already been flooded with coronavirus patients.",0,0
74,"As a poorer, battered south asks a richer, frugal north for solidarity, you’d be forgiven for thinking the coronavirus is throwing Europe back into last decade’s economic catastrophe. You’d be wrong. This time is set to be far worse.",0,0
84,"Amid falling coronavirus case rates and rising numbers of inoculations, California officials are easing what have for months been some of the nation’s most stringent lockdowns.",0,0
94,"As soon as she heard about a cluster of coronavirus cases at the Tyson pork processing plant on the edge of Columbus Junction, Iowa, Cindy Johnston felt a ripple effect through her small community along the Iowa River.",0,0
96,"On March 23, as the coronavirus pandemic put grocery workers on the front lines of a public health crisis, Trader Joe’s sent a memo to store managers encouraging them to relay a message to employees: Joining a union might be a bad idea.",0,0
97,"including the championship finals, which started this week between the Los Angeles Lakers and the Miami Heat.",0,0
101,"The handshake came first. Then the high-five, fist bump and more recently, the elbow touch. Canadian researchers are now working on a new greeting, the CanShake.",0,0
104,Joseph R. Biden Jr. ran for president insisting that President Trump was an “aberration” who did not reflect the character or views of the American people.,0,0
111,"After months of living under a strict lockdown in Italy, a closely gathered group of teenagers welcomed a warm evening this week at a verdant park in Milan, gazing at phone screens, embracing and forming a small circle around a playful dog. No one wore a mask.",0,0
113,"The United States has recorded its most coronavirus-related deaths over a weeklong period, as a brutal surge gathers speed across the country.",0,0
140,"This week I had the opportunity speak to Dr. Bonnie Henry. Before coronavirus and Covid-19 had entered my vocabulary, I had never heard of British Columbia’s provincial health officer.",0,0
141,"As ​the long Syrian war drags into its 10th year, conditions for Syrian civilians ​are ​deteriorating​ quickly, with rapid inflation and the coronavirus pandemic adding to their​ travails​. ​On Tuesday, donors met virtually in Brussels at a conference hosted by the European Union and United Nations to try to find the money to keep the poorest Syrians alive.",0,0
143,"President Trump retreated Sunday from his desire to relax coronavirus guidelines by Easter, announcing instead that all Americans must continue to avoid nonessential travel, going to work, eating at bars and restaurants, or gathering in groups of more than 10 for at least another month and perhaps until June.",0,0
146,"Economists and deficit hawks have warned for decades that the United States was borrowing too much money. The federal debt was ballooning so fast, they said, that economic ruin was inevitable: Interest rates would skyrocket, taxes would rise and inflation would probably run wild.",0,0
157,"Long before the coronavirus swept across the United States, pushing millions of Americans into some form of isolation, the state of Connecticut forced eight people into mandatory quarantine during the Ebola virus scare.",0,0
158,A senior Chinese official said that the country’s vaccines may need to be administered in greater doses or in concert with other shots because of their low overall effectiveness.,0,0
162,"Adding to growing evidence that the novel coronavirus can spread through air, scientists have identified genetic markers of the virus in airborne droplets, many with diameters smaller than one-ten-thousandth of an inch.",0,0
166,"Three months before their national convention is to kick off in Milwaukee, Democratic Party officials are planning for three scenarios depending on the severity of the coronavirus pandemic at the time. But the planners face a substantial problem in putting on the quadrennial event, recognizable to Americans as the traditional launch of the presidential general election campaign: Many of the delegates don’t want to go.",0,0
167,"For weeks, President Trump has minimized the coronavirus, mocked concern about it and treated the risk from it cavalierly. On Tuesday he took to the White House lectern and made a remarkable assertion: He knew it was a pandemic all along.",0,0
169,even as President Trump came to a reckoning over the number of people who could die during the coronavirus pandemic.,0,0
183,"When Chad Yazzie joined the Navajo Police Department just a few months ago, he expected to issue speeding tickets or break up the occasional fistfight.",0,0
188,"The early weeks of the Biden administration have brought a surge of support, in the White House and across party lines in Congress, for what could be the most ambitious effort in a generation to reduce child poverty.",0,0
192,"Rates of vaccination in Black and Latino communities in New York are lower than rates in largely white communities, new data shows, the latest evidence that suggests they aren’t getting equal access to vaccines, even though they have been disproportionately been affected by the coronavirus.",0,0
193,"The United States military began offering to vaccinate the detainees at Guantánamo Bay on Monday in an effort to protect troops stationed there and help restart the stalled war crimes hearings, an administration official with knowledge of the Pentagon plan said.",0,0
199,"On a chilly afternoon in April, Los Angeles police found an old, disoriented man crumpled on a Koreatown sidewalk.",0,0
200,"President Trump’s national security adviser, Robert C. O’Brien, has tested positive for the coronavirus, the administration said on Monday.",0,0
203,"The vaccine arrived at the University of Iowa Hospital at 7:30 a.m. in a refrigerated FedEx truck, and it was not long before the first dose was injected into the arm of David Conway, 39, an emergency-room nurse.",0,0
204,"Miami’s flashy nightclubs closed in March, but the parties have raged on in the waterfront manse tucked in the lush residential neighborhood of Belle Meade Island. Revelers arrive in sports cars and ride-shares several nights a week, say neighbors who have spied professional bouncers at the door and bought earplugs to try to sleep through the thumping dance beats.",0,0
206,"Older Americans are at a high risk for serious illness from the coronavirus, and most who are over age 65 are covered by Medicare.",0,0
215,"In January 2020, just weeks after the first Covid-19 cases emerged in China, the full genome of the new coronavirus was published online. Using this genomic sequence, scientists scrambled to design a large assortment of diagnostic tests for the virus.",0,0
219,"China has flooded cities and villages with battalions of neighborhood busybodies, uniformed volunteers and Communist Party representatives to carry out one of the biggest social control campaigns in history.",0,0
222,"Across the pharmaceutical and medical industries, senior executives and board members are making millions of dollars after announcing positive developments, including support from the government, in their efforts to fight Covid-19.",0,0
223,"In the working-class county where Joseph R. Biden Jr. spent his childhood, a river of yard signs were at war on Moosic Road: Trump vs. Biden.",0,0
231,"The city Planning Commission meeting in Vallejo, Calif., last week followed the same humdrum pattern of so many municipal meetings: There was the Pledge of Allegiance and a roll call, followed by various reports.",0,0
233,"Alexandra and Daniela Del Gaudio had never been to a political rally before, let alone one to protest a coronavirus lockdown and recall Gov. Gavin Newsom. But things had changed in the sisters’ lives since they opened the Wild Plum, a yoga and wellness space, in 2018.",0,0
238,"By the time the deadly coronavirus arrived in Italy’s industrial heartland, shutting down his factory and threatening Europe with economic damage, Antonio Falchetti was already a veteran in the battle to contain the global epidemic.",0,0
10,Physicians for a free service called Examine that was downloaded from the internet are not being paid to do their jobs. It is unclear how the health agency will disentangle itself from its partnership with a private equity investment firm.,3,1
15,"That old political heartbreaker, the presidential battleground of Florida, lured the two White House contenders to the same city on Thursday, as President Trump and Joseph R. Biden Jr. confronted some of their biggest political vulnerabilities in a state that is once again shaping up as the most elusive prize in next week’s election.",3,1
20,"Commuters who are eligible for a Covid-19 vaccine will be eligible for one on Sunday, the first day of implementation in the country.",3,1
22,"China is pushing a new theory about the origins of the coronavirus: It is an American disease that might have been introduced by members of the United States Army who visited Wuhan, the city where the outbreak began.",3,1
24,"A money market meltdown could be the best-selling disaster in the history of economic cycles. As the coronavirus stampeded across Europe and the rest of the world, the effects rippled far beyond the confines of the individual countries. The International Monetary Fund warned in a recent report that the global economy faces a daunting challenge ahead as a glut of vulnerable citizens.",3,1
26,"Blinking headlights and sirens across the dark blue waters of the Rio Grande, the long boat journey across the Caribbean to the port of El Salvador came to an end with a thud on Sunday night after a small peloton of rafts carrying relief supplies from the port of Laredo sank in the darkness of night, all lights off the boat were off.",3,1
30,"One month into his presidency, President Biden still has not named a candidate to head the Food and Drug Administration, a critical position at a time when new vaccines and coronavirus treatments are under the agency’s review.",3,1
35,"A week after he was hospitalized with Covid-19, President Trump is unlikely to return to the White House on Saturday, two people familiar with the events said.",3,1
36,"Over the last month, the Zoom videoconferencing service has emerged as the communication lifeline of the coronavirus pandemic. But the convenience fueling Zoom’s explosive popularity has come at a price.",3,1
39,"When they meet for their second and final debate on Thursday night, President Trump and Joseph R. Biden Jr. are expected to face questions over issues of deep consequence like the coronavirus, climate change and national security.",3,1
44,"Children are romping on playgrounds and riding bikes along tree-lined streets. The backyards are big enough for barbecues with the neighbors and the public schools are quality. Life is typically slower and gentler in the suburbs, away from the ruckus of dense urban areas.",3,1
49,"Two and a half hours after he was sworn in as the 45th president of the United States, President Trump started his inaugural address in a speech that reflected the changing dynamics of the country’s capital and its place in the nation’s history.",3,1
